P Vg
1.0 129.19
1.5 87.964
2.0 66.990
2.5 54.242
3.0 45.654
4.0 34.791
5.0 28.185
7.5 19.233
10 14.670
15 10.020
20 7.6481
25 6.2034
30 5.2287
40 3.9933
50 3.2403
75 2.2172
100 1.6941
101.325 1.6734
125 1.3750
150 1.1594
175 1.0037
200 0.88578
225 0.79329
250 0.71873
275 0.65732
300 0.60582
325 0.56199
350 0.52422
375 0.49133
400 0.46242
450 0.41392
500 0.37483
550 0.34261
600 0.31560
650 0.29260
700 0.27278
750 0.25552
800 0.24035
850 0.22690
900 0.21489
950 0.20411
1000 0.19436
1100 0.17745
1200 0.16326
1300 0.15119
1400 0.14078
1500 0.13171
1750 0.11344
2000 0.099587
2250 0.088717
2500 0.079952
3000 0.066667
3500 0.057061
4000 0.049779
5000 0.039448
6000 0.032449
7000 0.027378
8000 0.023525
9000 0.020489
10000 0.018028
11000 0.015988
12000 0.014264
13000 0.012781
14000 0.011487
15000 0.010341
16000 0.009312
17000 0.008374
18000 0.007504
19000 0.006677
20000 0.005862
21000 0.004994
22000 0.003644
22064 0.003106
